SampleID, process, xsectioninpb, filtereff, kfactor, uncertup, uncertdown, generator, etag
364214, Default, 1, 1, 1, 0, 0, Default, Default
364215, Default, 1, 1, 1, 0, 0, Default, Default
364242, Default, 1, 1, 1, 0, 0, Default, Default
364243, Default, 1, 1, 1, 0, 0, Default, Default
364244, Default, 1, 1, 1, 0, 0, Default, Default
364245, Default, 1, 1, 1, 0, 0, Default, Default
364246, Default, 1, 1, 1, 0, 0, Default, Default
364247, Default, 1, 1, 1, 0, 0, Default, Default
364248, Default, 1, 1, 1, 0, 0, Default, Default
364249, Default, 1, 1, 1, 0, 0, Default, Default
364250, Default, 1, 1, 1, 0, 0, Default, Default
364253, Default, 1, 1, 1, 0, 0, Default, Default
364254, Default, 1, 1, 1, 0, 0, Default, Default
364255, Default, 1, 1, 1, 0, 0, Default, Default
364283, Default, 1, 1, 1, 0, 0, Default, Default
364284, Default, 1, 1, 1, 0, 0, Default, Default
364287, Default, 1, 1, 1, 0, 0, Default, Default
410080, Default, 1, 1, 1, 0, 0, Default, Default
410081, Default, 1, 1, 1, 0, 0, Default, Default
410156, Default, 1, 1, 1, 0, 0, Default, Default
410157, Default, 1, 1, 1, 0, 0, Default, Default
410218, Default, 1, 1, 1, 0, 0, Default, Default
410219, Default, 1, 1, 1, 0, 0, Default, Default
410220, Default, 1, 1, 1, 0, 0, Default, Default
410276, Default, 1, 1, 1, 0, 0, Default, Default
410277, Default, 1, 1, 1, 0, 0, Default, Default
410278, Default, 1, 1, 1, 0, 0, Default, Default
410397, Default, 1, 1, 1, 0, 0, Default, Default
410398, Default, 1, 1, 1, 0, 0, Default, Default
410399, Default, 1, 1, 1, 0, 0, Default, Default
410408, Default, 1, 1, 1, 0, 0, Default, Default
410470, Default, 1, 1, 1, 0, 0, Default, Default
410472, Default, 1, 1, 1, 0, 0, Default, Default
410560, Default, 1, 1, 1, 0, 0, Default, Default
410644, Default, 1, 1, 1, 0, 0, Default, Default
410645, Default, 1, 1, 1, 0, 0, Default, Default
410646, Default, 1, 1, 1, 0, 0, Default, Default
410647, Default, 1, 1, 1, 0, 0, Default, Default
410658, Default, 1, 1, 1, 0, 0, Default, Default
410659, Default, 1, 1, 1, 0, 0, Default, Default
450661, Default, 1, 1, 1, 0, 0, Default, Default
450662, Default, 1, 1, 1, 0, 0, Default, Default
450663, Default, 1, 1, 1, 0, 0, Default, Default
502959, Default, 1, 1, 1, 0, 0, Default, Default
502960, Default, 1, 1, 1, 0, 0, Default, Default
502961, Default, 1, 1, 1, 0, 0, Default, Default
