SampleID,       process,                        xsectioninpb,           kfactor,        filtefficiency, xsecunc,        generator
364253,         lllv,                   4.5768,         1.0,            1.,         1.,     Sh_222_PDF30
364254,         llvv,                   12.5,           1.0,            1.,         1.,     Sh_222_PDF30
364255,         lvvv,                   3.2327,         1.0,            1.,         1.,     Sh_222_PDF30


###########################################
##      W+jets SHERPA 221 PT SLICES      ##
###########################################
#cross section: OK
#efficiency: OK
364156,         Sh221_PDF30_Wmunu_MHPT0_70_CVetoBVeto,          15317.599,      1.0,    1.0,    1.,     Sherpa
364157,         Sh221_PDF30_Wmunu_MHPT0_70_CFiltBVet,           2430.6469,      1.0,    1.0,    1.,     Sherpa
364158,         Sh221_PDF30_Wmunu_MHPT0_70_BFilter,             828.00726,      1.0,    1.0,    1.,     Sherpa
364159,         Sh221_PDF30_Wmunu_MHPT70_140_CVetoBVeto,        616.45484,      1.0,    1.0,    1.,     Sherpa
364160,         Sh221_PDF30_Wmunu_MHPT70_140_CFiltBVet,         225.59312,      1.0,    1.0,    1.,     Sherpa
364161,         Sh221_PDF30_Wmunu_MHPT70_140_BFilter,           76.090421,      1.0,    1.0,    1.,     Sherpa
364162,         Sh221_PDF30_Wmunu_MHPT140_280_CVetoBVeto,       198.70992,      1.0,    1.0,    1.,     Sherpa
364163,         Sh221_PDF30_Wmunu_MHPT140_280_CFiltBVet,        96.225235,      1.0,    1.0,    1.,     Sherpa
364164,         Sh221_PDF30_Wmunu_MHPT140_280_BFilter,          36.346327,      1.0,    1.0,    1.,     Sherpa
364165,         Sh221_PDF30_Wmunu_MHPT280_500_CVetoBVeto,       38.287025,      1.0,    1.0,    1.,     Sherpa
364166,         Sh221_PDF30_Wmunu_MHPT280_500_CFiltBVet,        22.391374,      1.0,    1.0,    1.,     Sherpa
364167,         Sh221_PDF30_Wmunu_MHPT280_500_BFilter,          8.672298,       1.0,    1.0,    1.,     Sherpa
364168,         Sh221_PDF30_Wmunu_MHPT500_1000,                 14.559791,      1.0,    1.0,    1.,     Sherpa
364169,         Sh221_PDF30_Wmunu_MHPT1000_E_CMS,               1.1981,         1.0,    1.0,    1.,     Sherpa
364170,         Sh221_PDF30_Wenu_MHPT0_70_CVetoBVeto,           15323.416,      1.0,    1.0,    1.,     Sherpa
364171,         Sh221_PDF30_Wenu_MHPT0_70_CFiltBVet,            2430.9690,      1.0,    1.0,    1.,     Sherpa
364172,         Sh221_PDF30_Wenu_MHPT0_70_BFilter,              832.53798,      1.0,    1.0,    1.,     Sherpa
364173,         Sh221_PDF30_Wenu_MHPT70_140_CVetoBVeto,         618.5219,       1.0,    1.0,    1.,     Sherpa
364174,         Sh221_PDF30_Wenu_MHPT70_140_CFiltBVet,          223.63946,      1.0,    1.0,    1.,     Sherpa
364175,         Sh221_PDF30_Wenu_MHPT70_140_BFilter,            94.862492,      1.0,    1.0,    1.,     Sherpa
364176,         Sh221_PDF30_Wenu_MHPT140_280_CVetoBVeto,        197.34486,      1.0,    1.0,    1.,     Sherpa
364177,         Sh221_PDF30_Wenu_MHPT140_280_CFiltBVet,         96.255919,      1.0,    1.0,    1.,     Sherpa
364178,         Sh221_PDF30_Wenu_MHPT140_280_BFilter,           35.914123,      1.0,    1.0,    1.,     Sherpa
364179,         Sh221_PDF30_Wenu_MHPT280_500_CVetoBVeto,        38.334377,      1.0,    1.0,    1.,     Sherpa
364180,         Sh221_PDF30_Wenu_MHPT280_500_CFiltBVet,         22.36999,       1.0,    1.0,    1.,     Sherpa
364181,         Sh221_PDF30_Wenu_MHPT280_500_BFilter,           9.587542,       1.0,    1.0,    1.,     Sherpa
364182,         Sh221_PDF30_Wenu_MHPT500_1000,                  14.598599,      1.0,    1.0,    1.,     Sherpa
