SampleID , xsection , kfactor , filtereff , uncertainty , mh , priority , generator , process , simulation
161032 ,		 0.12701 ,		 1.0 ,		 0.59381 ,		 -- ,		 440 ,		 2 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161033 ,		 0.10587 ,		 1.0 ,		 0.59336 ,		 -- ,		 460 ,		 2 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161034 ,		 0.0881534 ,		 1.0 ,		 0.59452 ,		 -- ,		 480 ,		 2 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161035 ,		 0.0735376 ,		 1.0 ,		 0.59564 ,		 -- ,		 500 ,		 2 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161036 ,		 0.061384 ,		 1.0 ,		 0.59763 ,		 -- ,		 520 ,		 2 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161037 ,		 0.0513615 ,		 1.0 ,		 0.59841 ,		 -- ,		 540 ,		 2 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161038 ,		 0.043124 ,		 1.0 ,		 0.59848 ,		 -- ,		 560 ,		 2 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161039 ,		 0.0362912 ,		 1.0 ,		 0.59762 ,		 -- ,		 580 ,		 2 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)
161040 ,		 0.0306356 ,		 1.0 ,		 0.5991 ,		 -- ,		 600 ,		 2 ,		 PowHeg+Pythia8 ,		 ggF_H->WW->leplep_2l_EF(CT10)

161342 ,		 0.000476105 ,		 1.0 ,		 0.42008 ,		 -- ,		 90 ,		 2 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161343 ,		 0.00102166 ,		 1.0 ,		 0.41349 ,		 -- ,		 95 ,		 2 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161050 ,		 0.00227475 ,		 1.0 ,		 0.42484 ,		 -- ,		 100 ,		 2 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161051 ,		 0.00477935 ,		 1.0 ,		 0.44381 ,		 -- ,		 105 ,		 2 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161052 ,		 0.00905831 ,		 1.0 ,		 0.46314 ,		 -- ,		 110 ,		 1 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161053 ,		 0.0156093 ,		 1.0 ,		 0.47894 ,		 -- ,		 115 ,		 1 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161054 ,		 0.0244079 ,		 1.0 ,		 0.494 ,		 -- ,		 120 ,		 1 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161055 ,		 0.0356152 ,		 1.0 ,		 0.5071 ,		 -- ,		 125 ,		 1 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161056 ,		 0.0480615 ,		 1.0 ,		 0.51756 ,		 -- ,		 130 ,		 1 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161057 ,		 0.0608021 ,		 1.0 ,		 0.52577 ,		 -- ,		 135 ,		 1 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161058 ,		 0.0730516 ,		 1.0 ,		 0.53351 ,		 -- ,		 140 ,		 1 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161059 ,		 0.0839598 ,		 1.0 ,		 0.54071 ,		 -- ,		 145 ,		 1 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161060 ,		 0.093521 ,		 1.0 ,		 0.54625 ,		 -- ,		 150 ,		 1 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161061 ,		 0.102605 ,		 1.0 ,		 0.55232 ,		 -- ,		 155 ,		 1 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161062 ,		 0.112952 ,		 1.0 ,		 0.55932 ,		 -- ,		 160 ,		 1 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161063 ,		 0.114987 ,		 1.0 ,		 0.56439 ,		 -- ,		 165 ,		 1 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161064 ,		 0.111114 ,		 1.0 ,		 0.56499 ,		 -- ,		 170 ,		 1 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161065 ,		 0.106098 ,		 1.0 ,		 0.56505 ,		 -- ,		 175 ,		 1 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161066 ,		 0.0993052 ,		 1.0 ,		 0.56756 ,		 -- ,		 180 ,		 1 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161067 ,		 0.0864734 ,		 1.0 ,		 0.56967 ,		 -- ,		 185 ,		 1 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161068 ,		 0.0774532 ,		 1.0 ,		 0.56757 ,		 -- ,		 190 ,		 1 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161069 ,		 0.0716632 ,		 1.0 ,		 0.567 ,		 -- ,		 195 ,		 1 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161070 ,		 0.0675582 ,		 1.0 ,		 0.57221 ,		 -- ,		 200 ,		 1 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161071 ,		 0.0575413 ,		 1.0 ,		 0.57496 ,		 -- ,		 220 ,		 2 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161072 ,		 0.0495373 ,		 1.0 ,		 0.57904 ,		 -- ,		 240 ,		 2 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161073 ,		 0.0425374 ,		 1.0 ,		 0.58189 ,		 -- ,		 260 ,		 2 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161074 ,		 0.0368075 ,		 1.0 ,		 0.58606 ,		 -- ,		 280 ,		 2 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161075 ,		 0.0320212 ,		 1.0 ,		 0.5871 ,		 -- ,		 300 ,		 2 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161076 ,		 0.0280273 ,		 1.0 ,		 0.58722 ,		 -- ,		 320 ,		 2 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161077 ,		 0.024679 ,		 1.0 ,		 0.59102 ,		 -- ,		 340 ,		 2 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161078 ,		 0.0206932 ,		 1.0 ,		 0.59321 ,		 -- ,		 360 ,		 2 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161079 ,		 0.0177471 ,		 1.0 ,		 0.59443 ,		 -- ,		 380 ,		 2 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161080 ,		 0.0155367 ,		 1.0 ,		 0.59699 ,		 -- ,		 400 ,		 2 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161081 ,		 0.0137425 ,		 1.0 ,		 0.59423 ,		 -- ,		 420 ,		 2 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161082 ,		 0.0122524 ,		 1.0 ,		 0.5993 ,		 -- ,		 440 ,		 2 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161083 ,		 0.0109789 ,		 1.0 ,		 0.59795 ,		 -- ,		 460 ,		 2 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161084 ,		 0.0098814 ,		 1.0 ,		 0.60054 ,		 -- ,		 480 ,		 2 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161085 ,		 0.0089471 ,		 1.0 ,		 0.59961 ,		 -- ,		 500 ,		 2 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161086 ,		 0.0081194 ,		 1.0 ,		 0.60079 ,		 -- ,		 520 ,		 2 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161087 ,		 0.0073941 ,		 1.0 ,		 0.60086 ,		 -- ,		 540 ,		 2 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161088 ,		 0.0067565 ,		 1.0 ,		 0.6006 ,		 -- ,		 560 ,		 2 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161089 ,		 0.0061873 ,		 1.0 ,		 0.60151 ,		 -- ,		 580 ,		 2 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)
161090 ,		 0.0056749 ,		 1.0 ,		 0.60156 ,		 -- ,		 600 ,		 2 ,		 PowHeg+Pythia8 ,		 VBF_H->WW->leplep_2l_EF(CT10)

161344 ,		 0.0004179 ,		 1.0 ,		 1.0 ,		 -- ,		 90 ,		 2 ,		 Pythia8 ,		 WH_H->WW->leplep(CTEQ6L1)
161345 ,		 0.0008136 ,		 1.0 ,		 1.0 ,		 -- ,		 95 ,		 2 ,		 Pythia8 ,		 WH_H->WW->leplep(CTEQ6L1)
161100 ,		 0.00164958 ,		 1.0 ,		 1.0 ,		 -- ,		 100 ,		 2 ,		 Pythia8 ,		 WH_H->WW->leplep(CTEQ6L1)
161101 ,		 0.00314226 ,		 1.0 ,		 1.0 ,		 -- ,		 105 ,		 2 ,		 Pythia8 ,		 WH_H->WW->leplep(CTEQ6L1)
161102 ,		 0.00544068 ,		 1.0 ,		 1.0 ,		 -- ,		 110 ,		 1 ,		 Pythia8 ,		 WH_H->WW->leplep(CTEQ6L1)
161103 ,		 0.00855252 ,		 1.0 ,		 1.0 ,		 -- ,		 115 ,		 1 ,		 Pythia8 ,		 WH_H->WW->leplep(CTEQ6L1)
161104 ,		 0.0123196 ,		 1.0 ,		 1.0 ,		 -- ,		 120 ,		 1 ,		 Pythia8 ,		 WH_H->WW->leplep(CTEQ6L1)
161105 ,		 0.0164876 ,		 1.0 ,		 1.0 ,		 -- ,		 125 ,		 2 ,		 Pythia8 ,		 WH_H->WW->leplep(CTEQ6L1)
161106 ,		 0.0204811 ,		 1.0 ,		 1.0 ,		 -- ,		 130 ,		 1 ,		 Pythia8 ,		 WH_H->WW->leplep(CTEQ6L1)
161107 ,		 0.0238846 ,		 1.0 ,		 1.0 ,		 -- ,		 135 ,		 1 ,		 Pythia8 ,		 WH_H->WW->leplep(CTEQ6L1)
161108 ,		 0.026367 ,		 1.0 ,		 1.0 ,		 -- ,		 140 ,		 1 ,		 Pythia8 ,		 WH_H->WW->leplep(CTEQ6L1)
161109 ,		 0.0279521 ,		 1.0 ,		 1.0 ,		 -- ,		 145 ,		 1 ,		 Pythia8 ,		 WH_H->WW->leplep(CTEQ6L1)
161110 ,		 0.0285938 ,		 1.0 ,		 1.0 ,		 -- ,		 150 ,		 1 ,		 Pythia8 ,		 WH_H->WW->leplep(CTEQ6L1)
161111 ,		 0.261226 ,		 1.0 ,		 0.104976 ,		 -- ,		 155 ,		 1 ,		 Pythia8 ,		 WH_H->WW->leplep(CTEQ6L1)
161112 ,		 0.0279504 ,		 1.0 ,		 1.0 ,		 -- ,		 160 ,		 1 ,		 Pythia8 ,		 WH_H->WW->leplep(CTEQ6L1)
161113 ,		 0.027089 ,		 1.0 ,		 1.0 ,		 -- ,		 165 ,		 1 ,		 Pythia8 ,		 WH_H->WW->leplep(CTEQ6L1)
161114 ,		 0.0243286 ,		 1.0 ,		 1.0 ,		 -- ,		 170 ,		 1 ,		 Pythia8 ,		 WH_H->WW->leplep(CTEQ6L1)
161115 ,		 0.0218154 ,		 1.0 ,		 1.0 ,		 -- ,		 175 ,		 1 ,		 Pythia8 ,		 WH_H->WW->leplep(CTEQ6L1)
161116 ,		 0.0193011 ,		 1.0 ,		 1.0 ,		 -- ,		 180 ,		 1 ,		 Pythia8 ,		 WH_H->WW->leplep(CTEQ6L1)
161117 ,		 0.0166266 ,		 1.0 ,		 1.0 ,		 -- ,		 185 ,		 1 ,		 Pythia8 ,		 WH_H->WW->leplep(CTEQ6L1)
161118 ,		 0.0144952 ,		 1.0 ,		 1.0 ,		 -- ,		 190 ,		 1 ,		 Pythia8 ,		 WH_H->WW->leplep(CTEQ6L1)
161119 ,		 0.0129096 ,		 1.0 ,		 1.0 ,		 -- ,		 195 ,		 1 ,		 Pythia8 ,		 WH_H->WW->leplep(CTEQ6L1)
161120 ,		 0.0116015 ,		 1.0 ,		 1.0 ,		 -- ,		 200 ,		 1 ,		 Pythia8 ,		 WH_H->WW->leplep(CTEQ6L1)
161121 ,		 0.00792436 ,		 1.0 ,		 1.0 ,		 -- ,		 220 ,		 2 ,		 Pythia8 ,		 WH_H->WW->leplep(CTEQ6L1)
161122 ,		 0.00562336 ,		 1.0 ,		 1.0 ,		 -- ,		 240 ,		 2 ,		 Pythia8 ,		 WH_H->WW->leplep(CTEQ6L1)
161123 ,		 0.00408416 ,		 1.0 ,		 1.0 ,		 -- ,		 260 ,		 2 ,		 Pythia8 ,		 WH_H->WW->leplep(CTEQ6L1)
161124 ,		 0.00302282 ,		 1.0 ,		 1.0 ,		 -- ,		 280 ,		 2 ,		 Pythia8 ,		 WH_H->WW->leplep(CTEQ6L1)
161125 ,		 0.00227019 ,		 1.0 ,		 1.0 ,		 -- ,		 300 ,		 2 ,		 Pythia8 ,		 WH_H->WW->leplep(CTEQ6L1)

161452 ,		 0.0510867 ,		 1.0 ,		 0.438048 ,		 -- ,		 110 ,		 2 ,		 Pythia8 ,		 WH_H->WW->lepjetjet(CTEQ6L1)
161453 ,		 0.0811702 ,		 1.0 ,		 0.438048 ,		 -- ,		 115 ,		 2 ,		 Pythia8 ,		 WH_H->WW->lepjetjet(CTEQ6L1)
161454 ,		 0.0710186 ,		 1.0 ,		 0.438048 ,		 -- ,		 120 ,		 2 ,		 Pythia8 ,		 WH_H->WW->lepjetjet(CTEQ6L1)
161455 ,		 0.151489 ,		 1.0 ,		 0.438048 ,		 -- ,		 125 ,		 1 ,		 Pythia8 ,		 WH_H->WW->lepjetjet(CTEQ6L1)
161456 ,		 0.186921 ,		 1.0 ,		 0.438048 ,		 -- ,		 130 ,		 2 ,		 Pythia8 ,		 WH_H->WW->lepjetjet(CTEQ6L1)
161457 ,		 0.21664 ,		 1.0 ,		 0.438048 ,		 -- ,		 135 ,		 2 ,		 Pythia8 ,		 WH_H->WW->lepjetjet(CTEQ6L1)
161458 ,		 0.238877 ,		 1.0 ,		 0.438048 ,		 -- ,		 140 ,		 2 ,		 Pythia8 ,		 WH_H->WW->lepjetjet(CTEQ6L1)
161459 ,		 0.25296 ,		 1.0 ,		 0.438048 ,		 -- ,		 145 ,		 2 ,		 Pythia8 ,		 WH_H->WW->lepjetjet(CTEQ6L1)
161460 ,		 0.259469 ,		 1.0 ,		 0.438048 ,		 -- ,		 150 ,		 2 ,		 Pythia8 ,		 WH_H->WW->lepjetjet(CTEQ6L1)
161461 ,		 0.261226 ,		 1.0 ,		 0.438048 ,		 -- ,		 155 ,		 2 ,		 Pythia8 ,		 WH_H->WW->lepjetjet(CTEQ6L1)
161462 ,		 0.259234 ,		 1.0 ,		 0.438048 ,		 -- ,		 160 ,		 2 ,		 Pythia8 ,		 WH_H->WW->lepjetjet(CTEQ6L1)
161463 ,		 0.25248 ,		 1.0 ,		 0.438048 ,		 -- ,		 165 ,		 2 ,		 Pythia8 ,		 WH_H->WW->lepjetjet(CTEQ6L1)
161464 ,		 0.227697 ,		 1.0 ,		 0.438048 ,		 -- ,		 170 ,		 2 ,		 Pythia8 ,		 WH_H->WW->lepjetjet(CTEQ6L1)
161465 ,		 0.202904 ,		 1.0 ,		 0.438048 ,		 -- ,		 175 ,		 2 ,		 Pythia8 ,		 WH_H->WW->lepjetjet(CTEQ6L1)
161466 ,		 0.178105 ,		 1.0 ,		 0.438048 ,		 -- ,		 180 ,		 2 ,		 Pythia8 ,		 WH_H->WW->lepjetjet(CTEQ6L1)
161467 ,		 0.14694 ,		 1.0 ,		 0.438048 ,		 -- ,		 185 ,		 2 ,		 Pythia8 ,		 WH_H->WW->lepjetjet(CTEQ6L1)
161468 ,		 0.124109 ,		 1.0 ,		 0.438048 ,		 -- ,		 190 ,		 2 ,		 Pythia8 ,		 WH_H->WW->lepjetjet(CTEQ6L1)
161469 ,		 0.108705 ,		 1.0 ,		 0.438048 ,		 -- ,		 195 ,		 2 ,		 Pythia8 ,		 WH_H->WW->lepjetjet(CTEQ6L1)
161470 ,		 0.0967005 ,		 1.0 ,		 0.438048 ,		 -- ,		 200 ,		 2 ,		 Pythia8 ,		 WH_H->WW->lepjetjet(CTEQ6L1)
161471 ,		 0.0649597 ,		 1.0 ,		 0.438048 ,		 -- ,		 220 ,		 2 ,		 Pythia8 ,		 WH_H->WW->lepjetjet(CTEQ6L1)
161472 ,		 0.045767 ,		 1.0 ,		 0.438048 ,		 -- ,		 240 ,		 2 ,		 Pythia8 ,		 WH_H->WW->lepjetjet(CTEQ6L1)
161473 ,		 0.0331186 ,		 1.0 ,		 0.438048 ,		 -- ,		 260 ,		 2 ,		 Pythia8 ,		 WH_H->WW->lepjetjet(CTEQ6L1)
161474 ,		 0.024457 ,		 1.0 ,		 0.438048 ,		 -- ,		 280 ,		 2 ,		 Pythia8 ,		 WH_H->WW->lepjetjet(CTEQ6L1)
161475 ,		 0.0183311 ,		 1.0 ,		 0.438048 ,		 -- ,		 300 ,		 2 ,		 Pythia8 ,		 WH_H->WW->lepjetjet(CTEQ6L1)

161346 ,		 0.00022932 ,		 1.0 ,		 1.0 ,		 -- ,		 90 ,		 2 ,		 Pythia8 ,		 ZH_H->WW->leplep(CTEQ6L1)
161347 ,		 0.000450384 ,		 1.0 ,		 1.0 ,		 -- ,		 95 ,		 2 ,		 Pythia8 ,		 ZH_H->WW->leplep(CTEQ6L1)
161150 ,		 0.000923628 ,		 1.0 ,		 1.0 ,		 -- ,		 100 ,		 2 ,		 Pythia8 ,		 ZH_H->WW->leplep(CTEQ6L1)
161151 ,		 0.00177657 ,		 1.0 ,		 1.0 ,		 -- ,		 105 ,		 2 ,		 Pythia8 ,		 ZH_H->WW->leplep(CTEQ6L1)
161152 ,		 0.0031115 ,		 1.0 ,		 1.0 ,		 -- ,		 110 ,		 1 ,		 Pythia8 ,		 ZH_H->WW->leplep(CTEQ6L1)
161153 ,		 0.00494543 ,		 1.0 ,		 1.0 ,		 -- ,		 115 ,		 1 ,		 Pythia8 ,		 ZH_H->WW->leplep(CTEQ6L1)
161154 ,		 0.0072063 ,		 1.0 ,		 1.0 ,		 -- ,		 120 ,		 1 ,		 Pythia8 ,		 ZH_H->WW->leplep(CTEQ6L1)
161155 ,		 0.00971802 ,		 1.0 ,		 1.0 ,		 -- ,		 125 ,		 2 ,		 Pythia8 ,		 ZH_H->WW->leplep(CTEQ6L1)
161156 ,		 0.0121877 ,		 1.0 ,		 1.0 ,		 -- ,		 130 ,		 1 ,		 Pythia8 ,		 ZH_H->WW->leplep(CTEQ6L1)
161157 ,		 0.0143722 ,		 1.0 ,		 1.0 ,		 -- ,		 135 ,		 1 ,		 Pythia8 ,		 ZH_H->WW->leplep(CTEQ6L1)
161158 ,		 0.0160259 ,		 1.0 ,		 1.0 ,		 -- ,		 140 ,		 1 ,		 Pythia8 ,		 ZH_H->WW->leplep(CTEQ6L1)
