SampleID , xsection , kfactor , filtereff , uncertainty , mh , priority , generator , process , simulation
129487,0.639,1.0,0.35302,--,-999,1,Powheg+PYthia8,W-Z->enumumu,Full
129488,0.1125,1.0,0.15969,--,-999,1,Powheg+PYthia8,W-Z->enutautau,Full
129489,0.9359,1.0,0.29766,--,-999,1,Powheg+PYthia8,W-Z->munuee,Full
129490,0.6488,1.0,0.35414,--,-999,1,Powheg+PYthia8,W-Z->munumumu,Full
129491,0.1125,1.0,0.16023,--,-999,1,Powheg+PYthia8,W-Z->munutautau,Full
129492,0.9359,1.0,0.14803,--,-999,1,Powheg+PYthia8,W-Z->taunuee,Full
129493,0.639,1.0,0.18657,--,-999,1,Powheg+PYthia8,W-Z->taunumumu,Full
129494,0.1107,1.0,0.056651,--,-999,1,Powheg+PYthia8,W-Z->taunutautau,Full
161961,2.5102,1.0,1,--,-999,2,Sherpa,WZ->lllnu,Full
161987,0.012559,1.0,1,--,-999,1,Sherpa,WZ->lllnu+jj(6EWcoupling),Full
105987,22.258,1.0,0.30546,--,-999,2,Herwig,InclusiveWZ_1lepEF,Full
146890,5.6,2.01,1.0,--,-999,2,MadGraph,Wgamma*->lnuee(mll<7GeV),Full
146892,1.3777,2.01,1.0,--,-999,2,MadGraph,Wgamma*->lnumumu(mll<7GeV),Full
146894,0.14717,2.01,1.0,--,-999,2,MadGraph,Wgamma*->lnutautau(mll<7GeV),Full
146891,0.33705,1.51,1.0,--,-999,2,MadGraph,Wgamma*->lnuee(mll>7GeV),Full
146893,0.33777,1.51,1.0,--,-999,2,MadGraph,Wgamma*->lnumumu(mll>7GeV),Full
146895,0.34801,1.51,1.0,--,-999,2,MadGraph,Wgamma*->lnutautau(mll>7GeV),Full
169850,6.33968,1.46,1.0,--,-999,2,Sherpa,Wgamma*->lnuee(mll<7GeV),Full
169851,1.53575,1.46,1.0,--,-999,2,Sherpa,Wgamma*->lnumumu(mll<7GeV),Full
169852,0.13155,1.46,1.0,--,-999,2,Sherpa,Wgamma*->lnutautau(mll<7GeV),Full
181452,10.175,0.944,1.0,--,-999,1,Sherpa,Wgamma*->lnuee(mll<7GeV)+1p,Full
181453,2.535,0.944,1.0,--,-999,1,Sherpa,Wgamma*->lnumumu(mll<7GeV)+1p,Full
181454,0.228,0.944,1.0,--,-999,1,Sherpa,Wgamma*->lnutautau(mll<7GeV)+1p,Full
181471,2.8286,0.880,1.0,--,-999,2,Sherpa,Zgamma*->4e(mll1/2>4/<4GeV)+1p,Full
181472,2.34503,0.880,1.0,--,-999,2,Sherpa,Zgamma*->2e2mu(mll1/2>4/<4GeV)+1p,Full
181473,1.59326,0.880,1.0,--,-999,2,Sherpa,Zgamma*->2e2tau(mll1/2>4/<4GeV)+1p,Full
181474,0.48613,0.880,1.0,--,-999,2,Sherpa,Zgamma*->2mu2e(mll1/2>4/<4GeV)+1p,Full
181475,0.50835,0.880,1.0,--,-999,2,Sherpa,Zgamma*->4mu(mll1/2>4/<4GeV)+1p,Full
181476,0.42288,0.880,1.0,--,-999,2,Sherpa,Zgamma*->2mu2tau(mll1/2>4/<4GeV)+1p,Full
