SampleID , xsection , kfactor , filtereff , uncertainty , mh , generator , process , simulation
# Units on xsection in this file are in nb, not the default pb!  You MUST specify this correctly in your analyze step.

# This file contains a list of DSIDs and their cross section and serves as a comprehensive example.
# If you happen to find a mistake in this file, please report it, because a version of this file
# is used for the HWW analysis.

###################################################################################################################################################################
###################################################################################################################################################################
# 																		signal 																					  #
###################################################################################################################################################################
###################################################################################################################################################################

345211, 0.000033417, 1.0, 1.0, --, 125, Powheg+Pythia8(v8.212)+EvtGen(v1.6.0), PowhegPy8EG_NNPDF30_AZNLO_WmH125J_Winc_MINLO_tautau, OFLCOND-MC16-SDR-16
345212, 0.000052685, 1.0, 1.0, --, 125, Powheg+Pythia8(v8.212)+EvtGen(v1.6.0), PowhegPy8EG_NNPDF30_AZNLO_WpH125J_Winc_MINLO_tautau, OFLCOND-MC16-SDR-16
345217, 0.000055438, 1.0, 1.0, --, 125, Powheg+Pythia8(v8.212)+EvtGen(v1.6.0), PowhegPy8EG_NNPDF30_AZNLO_ZH125J_Zinc_MINLO_tautau , OFLCOND-MC16-SDR-16

# EFT VBF+VH
345270, 1.3923E-04, 1.0, 1.0E+00, --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_WWlvlv_EF_15_5, OFLCOND-RUN12-SDR-30

# EFT VBF
345271, 0.0000806, 1.0, 1.0E+00, --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_WWlvlv_EF_15_5, OFLCOND-RUN12-SDR-30

# EFT VBF+VH dilepton
345272, 1.3923E-04, 1.0, 7.058657E-01, --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_WWlvlv_EF_15_5, OFLCOND-RUN12-SDR-30


# SM Hmumu ggf
341190, 4.4363E-02, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH100_mumu, OFLCOND-RUN12-SDR-30
341191, 4.0772E-02, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH105_mumu, OFLCOND-RUN12-SDR-30
341192, 3.7640E-02, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH110_mumu, OFLCOND-RUN12-SDR-30
341193, 7.8420E+07, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH115_mumu, OFLCOND-RUN12-SDR-30
341194, 3.2393E-02, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH120_mumu, OFLCOND-RUN12-SDR-30
341195, 3.0193E-02, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH125_mumu, OFLCOND-RUN12-SDR-30
341196, 2.8218E-02, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH130_mumu, OFLCOND-RUN12-SDR-30
341197, 2.6445E-02, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH135_mumu, OFLCOND-RUN12-SDR-30
341198, 2.4821E-02, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH140_mumu, OFLCOND-RUN12-SDR-30
341199, 2.3362E-02, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_ggH145_mumu, OFLCOND-RUN12-SDR-30

# SM Hmumu VBF
341201, 4.7053E-03, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH100_mumu, OFLCOND-RUN12-SDR-30
341202, 4.5114E-03, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH105_mumu, OFLCOND-RUN12-SDR-30
341203, 4.3271E-03, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH110_mumu, OFLCOND-RUN12-SDR-30
341204, 4.1518E-03, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH115_mumu, OFLCOND-RUN12-SDR-30
341205, 3.9868E-03, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH120_mumu, OFLCOND-RUN12-SDR-30
341206, 3.8927E-03, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH125_mumu, OFLCOND-RUN12-SDR-30
341207, 3.6872E-03, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH130_mumu, OFLCOND-RUN12-SDR-30
341208, 3.5407E-03, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH135_mumu, OFLCOND-RUN12-SDR-30
341209, 3.4059E-03, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH140_mumu, OFLCOND-RUN12-SDR-30
341210, 7.8420E+07, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH145_mumu, OFLCOND-RUN12-SDR-30
341211, 3.1597E-03, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLOCTEQ6L1_VBFH150_mumu, OFLCOND-RUN12-SDR-30

# SM WH
341421, 1.342E-06, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_WmH125J_MINLO_eveWWlvlv, OFLCOND-RUN12-SDR-30(Deprecated)
343275, 1.342E-06, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_WmH125J_MINLO_eveWWlvlv
341422, 5.601E-06, 1.0, 4.3721E-01, --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_WmH125J_MINLO_eveWWlvqq, OFLCOND-RUN12-SDR-30
341423, 1.342E-06, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_WmH125J_MINLO_muvmuWWlvlv, OFLCOND-RUN12-SDR-30(Deprecated)
343276, 1.342E-06, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_WmH125J_MINLO_muvmuWWlvlv
341424, 5.601E-06, 1.0, 4.3691E-01, --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_WmH125J_MINLO_muvmuWWlvqq, OFLCOND-RUN12-SDR-30
341425, 8.080E-06, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_WmH125J_MINLO_qqWWlvlv, OFLCOND-RUN12-SDR-30
341426, 3.372E-05, 1.0, 4.3638E-01, --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_WmH125J_MINLO_qqWWlvqq, OFLCOND-RUN12-SDR-30
341427, 1.342E-06, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_WmH125J_MINLO_tauvtauWWlvlv, OFLCOND-RUN12-SDR-30
341428, 5.601E-06, 1.0, 4.3970E-01, --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_WmH125J_MINLO_tauvtauWWlvqq, OFLCOND-RUN12-SDR-30
341429, 2.115E-06, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_WpH125J_MINLO_eveWWlvlv, OFLCOND-RUN12-SDR-30(Deprecated)
343277, 2.115E-06, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_WpH125J_MINLO_eveWWlvlv
341430, 8.824E-06, 1.0, 4.3565E-01, --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_WpH125J_MINLO_eveWWlvqq, OFLCOND-RUN12-SDR-30
341431, 2.115E-06, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_WpH125J_MINLO_muvmuWWlvlv, OFLCOND-RUN12-SDR-30(Deprecated)
343278, 2.115E-06, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_WpH125J_MINLO_muvmuWWlvlv
341432, 8.824E-06, 1.0, 4.3778E-01, --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_WpH125J_MINLO_muvmuWWlvqq, OFLCOND-RUN12-SDR-30
341433, 1.274E-05, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_WpH125J_MINLO_qqWWlvlv, OFLCOND-RUN12-SDR-30
341434, 5.316E-05, 1.0, 4.3909E-01, --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_WpH125J_MINLO_qqWWlvqq, OFLCOND-RUN12-SDR-30
341435, 2.115E-06, 1.0, 1.0,        --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_WpH125J_MINLO_tauvtauWWlvlv, OFLCOND-RUN12-SDR-30
341436, 8.824E-06, 1.0, 4.3823E-01, --, 125,  Powheg+Pythia8+EvtGen, PowhegPythia8EvtGen_CT10_AZNLO_WpH125J_MINLO_tauvtauWWlvqq, OFLCOND-RUN12-SDR-30
# ==================================================================================================================================
# 2019/09/23 -- MJB: the below Xsecs don't agree with the values I calculated, but I'll use the values I calculated for now
# 345433, 8.080E-06, 1.0, 1.0,        --, 125, PowhegPythia8EvtGen, PowhegPythia8EvtGen_NNPDF3_AZNLO_WmH125J_MINLO_qqWWlvlv, DUMMY
# 345325, 1.274E-05, 1.0, 1.0,        --, 125, PowhegPythia8EvtGen, PowhegPythia8EvtGen_NNPDF3_AZNLO_WpH125J_MINLO_qqWWlvlv, DUMMY
345325, 1.9142050E-05, 1.0, 1.0, --, 125.09, Powheg+Pythia8(v8.212)+EvtGen(v1.2.0), PowhegPythia8EvtGen_NNPDF3_AZNLO_WpH125J_MINLO_qqWWlvlv, OFLCOND-MC16-SDR-16
345433, 1.2136243E-05, 1.0, 1.0, --, 125.09, Powheg+Pythia8(v8.212)+EvtGen(v1.2.0), PowhegPythia8EvtGen_NNPDF3_AZNLO_WmH125J_MINLO_qqWWlvlv, OFLCOND-MC16-SDR-16
